start total=1319
step 10/1319 acc=0.1000
step 20/1319 acc=0.1000
step 30/1319 acc=0.0667
step 40/1319 acc=0.0750
step 50/1319 acc=0.0600
step 60/1319 acc=0.0667
step 70/1319 acc=0.0571
step 80/1319 acc=0.0750
step 90/1319 acc=0.0667
step 100/1319 acc=0.0700
step 110/1319 acc=0.0636
step 120/1319 acc=0.0583
step 130/1319 acc=0.0615
step 140/1319 acc=0.0643
step 150/1319 acc=0.0800
step 160/1319 acc=0.0750
step 170/1319 acc=0.0765
step 180/1319 acc=0.0722
step 190/1319 acc=0.0737
step 200/1319 acc=0.0750
step 210/1319 acc=0.0714
step 220/1319 acc=0.0682
step 230/1319 acc=0.0696
step 240/1319 acc=0.0708
step 250/1319 acc=0.0680
step 260/1319 acc=0.0692
step 270/1319 acc=0.0667
step 280/1319 acc=0.0643
step 290/1319 acc=0.0621
step 300/1319 acc=0.0600
step 310/1319 acc=0.0677
step 320/1319 acc=0.0688
step 330/1319 acc=0.0697
step 340/1319 acc=0.0706
step 350/1319 acc=0.0686
step 360/1319 acc=0.0694
step 370/1319 acc=0.0676
step 380/1319 acc=0.0737
step 390/1319 acc=0.0744
step 400/1319 acc=0.0750
step 410/1319 acc=0.0732
step 420/1319 acc=0.0714
step 430/1319 acc=0.0698
step 440/1319 acc=0.0727
step 450/1319 acc=0.0711
step 460/1319 acc=0.0696
step 470/1319 acc=0.0681
step 480/1319 acc=0.0667
step 490/1319 acc=0.0673
step 500/1319 acc=0.0700
step 510/1319 acc=0.0706
step 520/1319 acc=0.0692
step 530/1319 acc=0.0679
step 540/1319 acc=0.0685
step 550/1319 acc=0.0691
step 560/1319 acc=0.0696
step 570/1319 acc=0.0684
step 580/1319 acc=0.0672
step 590/1319 acc=0.0661
step 600/1319 acc=0.0650
step 610/1319 acc=0.0656
step 620/1319 acc=0.0661
step 630/1319 acc=0.0651
step 640/1319 acc=0.0641
step 650/1319 acc=0.0646
step 660/1319 acc=0.0652
step 670/1319 acc=0.0657
step 680/1319 acc=0.0647
step 690/1319 acc=0.0652
step 700/1319 acc=0.0657
step 710/1319 acc=0.0648
step 720/1319 acc=0.0653
step 730/1319 acc=0.0671
step 740/1319 acc=0.0689
step 750/1319 acc=0.0680
step 760/1319 acc=0.0671
step 770/1319 acc=0.0675
step 780/1319 acc=0.0692
step 790/1319 acc=0.0696
step 800/1319 acc=0.0700
step 810/1319 acc=0.0691
step 820/1319 acc=0.0695
step 830/1319 acc=0.0699
step 840/1319 acc=0.0690
step 850/1319 acc=0.0706
step 860/1319 acc=0.0698
step 870/1319 acc=0.0690
step 880/1319 acc=0.0682
step 890/1319 acc=0.0674
step 900/1319 acc=0.0689
step 910/1319 acc=0.0692
step 920/1319 acc=0.0696
step 930/1319 acc=0.0699
step 940/1319 acc=0.0691
step 950/1319 acc=0.0695
step 960/1319 acc=0.0698
step 970/1319 acc=0.0691
step 980/1319 acc=0.0684
step 990/1319 acc=0.0677
step 1000/1319 acc=0.0690
step 1010/1319 acc=0.0703
step 1020/1319 acc=0.0696
step 1030/1319 acc=0.0709
step 1040/1319 acc=0.0702
step 1050/1319 acc=0.0724
step 1060/1319 acc=0.0717
step 1070/1319 acc=0.0710
step 1080/1319 acc=0.0704
step 1090/1319 acc=0.0697
step 1100/1319 acc=0.0691
step 1110/1319 acc=0.0694
step 1120/1319 acc=0.0696
step 1130/1319 acc=0.0690
step 1140/1319 acc=0.0684
step 1150/1319 acc=0.0678
step 1160/1319 acc=0.0672
step 1170/1319 acc=0.0675
step 1180/1319 acc=0.0686
step 1190/1319 acc=0.0681
step 1200/1319 acc=0.0675
step 1210/1319 acc=0.0669
step 1220/1319 acc=0.0664
step 1230/1319 acc=0.0659
step 1240/1319 acc=0.0669
step 1250/1319 acc=0.0664
step 1260/1319 acc=0.0667
step 1270/1319 acc=0.0661
step 1280/1319 acc=0.0656
step 1290/1319 acc=0.0659
step 1300/1319 acc=0.0662
step 1310/1319 acc=0.0672
start total=1319
step 10/1319 acc=0.2000
step 20/1319 acc=0.2000
step 30/1319 acc=0.1667
step 40/1319 acc=0.1500
step 50/1319 acc=0.1200
step 60/1319 acc=0.1667
step 70/1319 acc=0.1429
step 80/1319 acc=0.1500
step 90/1319 acc=0.1333
step 100/1319 acc=0.1200
step 110/1319 acc=0.1091
step 120/1319 acc=0.1083
step 130/1319 acc=0.1000
step 140/1319 acc=0.1000
step 150/1319 acc=0.0933
step 160/1319 acc=0.0938
step 170/1319 acc=0.0882
step 180/1319 acc=0.0889
step 190/1319 acc=0.0895
step 200/1319 acc=0.0900
step 210/1319 acc=0.0952
step 220/1319 acc=0.0955
step 230/1319 acc=0.1043
step 240/1319 acc=0.1042
step 250/1319 acc=0.1040
step 260/1319 acc=0.1077
step 270/1319 acc=0.1111
step 280/1319 acc=0.1214
step 290/1319 acc=0.1310
step 300/1319 acc=0.1300
step 310/1319 acc=0.1258
step 320/1319 acc=0.1250
step 330/1319 acc=0.1273
step 340/1319 acc=0.1294
step 350/1319 acc=0.1286
step 360/1319 acc=0.1306
step 370/1319 acc=0.1270
step 380/1319 acc=0.1263
step 390/1319 acc=0.1282
step 400/1319 acc=0.1275
step 410/1319 acc=0.1317
step 420/1319 acc=0.1286
step 430/1319 acc=0.1279
step 440/1319 acc=0.1273
step 450/1319 acc=0.1244
step 460/1319 acc=0.1217
step 470/1319 acc=0.1255
step 480/1319 acc=0.1229
step 490/1319 acc=0.1286
step 500/1319 acc=0.1260
step 510/1319 acc=0.1275
step 520/1319 acc=0.1269
step 530/1319 acc=0.1245
step 540/1319 acc=0.1222
step 550/1319 acc=0.1236
step 560/1319 acc=0.1232
step 570/1319 acc=0.1246
step 580/1319 acc=0.1259
step 590/1319 acc=0.1237
step 600/1319 acc=0.1233
step 610/1319 acc=0.1230
step 620/1319 acc=0.1226
step 630/1319 acc=0.1222
step 640/1319 acc=0.1234
step 650/1319 acc=0.1231
step 660/1319 acc=0.1227
step 670/1319 acc=0.1209
step 680/1319 acc=0.1206
step 690/1319 acc=0.1217
step 700/1319 acc=0.1200
step 710/1319 acc=0.1183
step 720/1319 acc=0.1208
step 730/1319 acc=0.1205
step 740/1319 acc=0.1203
step 750/1319 acc=0.1200
step 760/1319 acc=0.1184
step 770/1319 acc=0.1182
step 780/1319 acc=0.1218
step 790/1319 acc=0.1241
step 800/1319 acc=0.1250
step 810/1319 acc=0.1235
step 820/1319 acc=0.1232
step 830/1319 acc=0.1229
step 840/1319 acc=0.1226
step 850/1319 acc=0.1247
step 860/1319 acc=0.1244
step 870/1319 acc=0.1230
step 880/1319 acc=0.1227
step 890/1319 acc=0.1225
step 900/1319 acc=0.1222
step 910/1319 acc=0.1231
step 920/1319 acc=0.1239
step 930/1319 acc=0.1247
step 940/1319 acc=0.1245
step 950/1319 acc=0.1242
step 960/1319 acc=0.1229
step 970/1319 acc=0.1216
step 980/1319 acc=0.1224
step 990/1319 acc=0.1222
step 1000/1319 acc=0.1220
step 1010/1319 acc=0.1228
step 1020/1319 acc=0.1216
step 1030/1319 acc=0.1223
step 1040/1319 acc=0.1221
step 1050/1319 acc=0.1219
step 1060/1319 acc=0.1236
step 1070/1319 acc=0.1224
step 1080/1319 acc=0.1241
step 1090/1319 acc=0.1248
step 1100/1319 acc=0.1245
step 1110/1319 acc=0.1234
step 1120/1319 acc=0.1250
step 1130/1319 acc=0.1248
step 1140/1319 acc=0.1237
step 1150/1319 acc=0.1226
step 1160/1319 acc=0.1241
step 1170/1319 acc=0.1231
step 1180/1319 acc=0.1229
step 1190/1319 acc=0.1235
step 1200/1319 acc=0.1233
step 1210/1319 acc=0.1240
step 1220/1319 acc=0.1246
step 1230/1319 acc=0.1244
step 1240/1319 acc=0.1242
step 1250/1319 acc=0.1232
step 1260/1319 acc=0.1230
step 1270/1319 acc=0.1220
step 1280/1319 acc=0.1211
step 1290/1319 acc=0.1209
step 1300/1319 acc=0.1200
step 1310/1319 acc=0.1191
