start total=1319
step 10/1319 acc=0.3000
step 20/1319 acc=0.2000
step 30/1319 acc=0.1333
step 40/1319 acc=0.1250
step 50/1319 acc=0.1000
step 60/1319 acc=0.1167
step 70/1319 acc=0.1000
step 80/1319 acc=0.1125
step 90/1319 acc=0.1000
step 100/1319 acc=0.1000
step 110/1319 acc=0.0909
step 120/1319 acc=0.0833
step 130/1319 acc=0.0923
step 140/1319 acc=0.0929
step 150/1319 acc=0.1000
step 160/1319 acc=0.0938
step 170/1319 acc=0.0941
step 180/1319 acc=0.0944
step 190/1319 acc=0.0947
step 200/1319 acc=0.0950
step 210/1319 acc=0.0905
step 220/1319 acc=0.0909
step 230/1319 acc=0.0870
step 240/1319 acc=0.0833
step 250/1319 acc=0.0800
step 260/1319 acc=0.0769
step 270/1319 acc=0.0741
step 280/1319 acc=0.0714
step 290/1319 acc=0.0690
step 300/1319 acc=0.0667
step 310/1319 acc=0.0710
step 320/1319 acc=0.0750
step 330/1319 acc=0.0758
step 340/1319 acc=0.0765
step 350/1319 acc=0.0743
step 360/1319 acc=0.0750
step 370/1319 acc=0.0730
step 380/1319 acc=0.0789
step 390/1319 acc=0.0795
step 400/1319 acc=0.0800
step 410/1319 acc=0.0805
step 420/1319 acc=0.0786
step 430/1319 acc=0.0767
step 440/1319 acc=0.0773
step 450/1319 acc=0.0756
step 460/1319 acc=0.0739
step 470/1319 acc=0.0745
step 480/1319 acc=0.0729
step 490/1319 acc=0.0735
step 500/1319 acc=0.0760
step 510/1319 acc=0.0745
step 520/1319 acc=0.0769
step 530/1319 acc=0.0755
step 540/1319 acc=0.0759
step 550/1319 acc=0.0745
step 560/1319 acc=0.0750
step 570/1319 acc=0.0737
step 580/1319 acc=0.0724
step 590/1319 acc=0.0712
step 600/1319 acc=0.0700
step 610/1319 acc=0.0689
step 620/1319 acc=0.0677
step 630/1319 acc=0.0667
step 640/1319 acc=0.0656
step 650/1319 acc=0.0646
step 660/1319 acc=0.0652
step 670/1319 acc=0.0642
step 680/1319 acc=0.0647
step 690/1319 acc=0.0667
step 700/1319 acc=0.0671
step 710/1319 acc=0.0662
step 720/1319 acc=0.0667
step 730/1319 acc=0.0685
step 740/1319 acc=0.0689
step 750/1319 acc=0.0680
step 760/1319 acc=0.0671
step 770/1319 acc=0.0675
step 780/1319 acc=0.0692
step 790/1319 acc=0.0696
step 800/1319 acc=0.0688
step 810/1319 acc=0.0679
step 820/1319 acc=0.0683
step 830/1319 acc=0.0675
step 840/1319 acc=0.0667
step 850/1319 acc=0.0682
step 860/1319 acc=0.0674
step 870/1319 acc=0.0678
step 880/1319 acc=0.0670
step 890/1319 acc=0.0674
step 900/1319 acc=0.0689
step 910/1319 acc=0.0692
step 920/1319 acc=0.0696
step 930/1319 acc=0.0699
step 940/1319 acc=0.0691
step 950/1319 acc=0.0695
step 960/1319 acc=0.0698
step 970/1319 acc=0.0691
step 980/1319 acc=0.0684
step 990/1319 acc=0.0677
step 1000/1319 acc=0.0690
step 1010/1319 acc=0.0703
step 1020/1319 acc=0.0696
step 1030/1319 acc=0.0699
step 1040/1319 acc=0.0702
step 1050/1319 acc=0.0714
step 1060/1319 acc=0.0708
step 1070/1319 acc=0.0701
