start total=1319
step 10/1319 acc=0.3000
step 20/1319 acc=0.2000
step 30/1319 acc=0.1333
step 40/1319 acc=0.1000
step 50/1319 acc=0.0800
step 60/1319 acc=0.1000
step 70/1319 acc=0.0857
step 80/1319 acc=0.1000
step 90/1319 acc=0.0889
step 100/1319 acc=0.0900
step 110/1319 acc=0.0818
step 120/1319 acc=0.0750
step 130/1319 acc=0.0846
step 140/1319 acc=0.0857
step 150/1319 acc=0.0933
step 160/1319 acc=0.0875
step 170/1319 acc=0.0882
step 180/1319 acc=0.0889
step 190/1319 acc=0.0895
step 200/1319 acc=0.0900
step 210/1319 acc=0.0905
step 220/1319 acc=0.0909
step 230/1319 acc=0.0913
step 240/1319 acc=0.0875
step 250/1319 acc=0.0840
step 260/1319 acc=0.0808
step 270/1319 acc=0.0778
step 280/1319 acc=0.0750
step 290/1319 acc=0.0724
step 300/1319 acc=0.0700
step 310/1319 acc=0.0742
step 320/1319 acc=0.0781
step 330/1319 acc=0.0788
step 340/1319 acc=0.0794
step 350/1319 acc=0.0771
step 360/1319 acc=0.0778
step 370/1319 acc=0.0757
step 380/1319 acc=0.0816
step 390/1319 acc=0.0821
step 400/1319 acc=0.0825
step 410/1319 acc=0.0829
step 420/1319 acc=0.0810
step 430/1319 acc=0.0791
step 440/1319 acc=0.0818
step 450/1319 acc=0.0800
step 460/1319 acc=0.0783
step 470/1319 acc=0.0766
step 480/1319 acc=0.0771
step 490/1319 acc=0.0776
step 500/1319 acc=0.0800
step 510/1319 acc=0.0784
step 520/1319 acc=0.0788
step 530/1319 acc=0.0774
step 540/1319 acc=0.0778
step 550/1319 acc=0.0764
step 560/1319 acc=0.0768
step 570/1319 acc=0.0772
step 580/1319 acc=0.0759
step 590/1319 acc=0.0746
step 600/1319 acc=0.0733
step 610/1319 acc=0.0738
step 620/1319 acc=0.0726
step 630/1319 acc=0.0714
step 640/1319 acc=0.0703
step 650/1319 acc=0.0692
step 660/1319 acc=0.0697
step 670/1319 acc=0.0687
step 680/1319 acc=0.0691
step 690/1319 acc=0.0710
step 700/1319 acc=0.0714
step 710/1319 acc=0.0704
step 720/1319 acc=0.0708
step 730/1319 acc=0.0726
step 740/1319 acc=0.0730
step 750/1319 acc=0.0720
step 760/1319 acc=0.0711
step 770/1319 acc=0.0714
step 780/1319 acc=0.0731
step 790/1319 acc=0.0734
step 800/1319 acc=0.0725
step 810/1319 acc=0.0716
step 820/1319 acc=0.0720
step 830/1319 acc=0.0711
step 840/1319 acc=0.0702
step 850/1319 acc=0.0718
step 860/1319 acc=0.0709
step 870/1319 acc=0.0713
step 880/1319 acc=0.0705
step 890/1319 acc=0.0708
step 900/1319 acc=0.0722
step 910/1319 acc=0.0725
step 920/1319 acc=0.0728
step 930/1319 acc=0.0731
step 940/1319 acc=0.0723
step 950/1319 acc=0.0726
step 960/1319 acc=0.0729
step 970/1319 acc=0.0722
step 980/1319 acc=0.0714
step 990/1319 acc=0.0707
step 1000/1319 acc=0.0720
step 1010/1319 acc=0.0733
step 1020/1319 acc=0.0725
step 1030/1319 acc=0.0728
step 1040/1319 acc=0.0731
step 1050/1319 acc=0.0743
step 1060/1319 acc=0.0736
step 1070/1319 acc=0.0729
step 1080/1319 acc=0.0722
step 1090/1319 acc=0.0725
step 1100/1319 acc=0.0718
step 1110/1319 acc=0.0712
step 1120/1319 acc=0.0714
step 1130/1319 acc=0.0708
step 1140/1319 acc=0.0702
step 1150/1319 acc=0.0704
step 1160/1319 acc=0.0698
step 1170/1319 acc=0.0692
step 1180/1319 acc=0.0703
step 1190/1319 acc=0.0697
step 1200/1319 acc=0.0700
step 1210/1319 acc=0.0694
step 1220/1319 acc=0.0689
step 1230/1319 acc=0.0683
step 1240/1319 acc=0.0694
step 1250/1319 acc=0.0688
step 1260/1319 acc=0.0690
step 1270/1319 acc=0.0685
step 1280/1319 acc=0.0680
step 1290/1319 acc=0.0682
step 1300/1319 acc=0.0685
step 1310/1319 acc=0.0702
